TEAM1,TEAM1_MODEL,TEAM2,TEAM2_MODEL,TOSS_WINNER,TOSS_WINNER_MODEL,TEAM1_STRENGTH,TEAM1_CUMU_STRENGTH,TEAM2_STRENGTH,TEAM2_CUMU_STRENGTH,WIN_RATE_TEAM1,WIN_RATE_TEAM2,WINNER,WINNER_MODEL,AHP_RATIO_TEAM1,AHP_RATIO_TEAM2
DD,1,RPS,0,RPS,0,338.85714289999993,303.525,310.1719955,312.97661560000006,0.4251968503937008,0.2631578947368421,RPS,0,8.076035,6.032793
RCB,1,KXIP,0,KXIP,0,329.1875,274.8649554,299.4642857,312.2185374,0.4961832061068702,0.4809160305343512,RCB,1,9.982425,9.380131
SRH,1,DD,0,DD,0,276.52941180000005,222.2478992,338.85714289999993,303.525,0.4545454545454545,0.421875,DD,0,9.026536,8.076035
KXIP,1,RPS,0,KXIP,1,299.4642857,312.2185374,310.1719955,312.97661560000006,0.4772727272727273,0.27586206896551724,RPS,0,9.380131,6.032793
KKR,1,SRH,0,SRH,0,287.1166667,281.9285713999999,276.52941180000005,222.2478992,0.5153846153846153,0.4511278195488722,KKR,1,12.745465,9.026536
DD,1,RCB,0,RCB,0,338.85714289999993,303.525,329.1875,274.8649554,0.4263565891472868,0.5,RCB,0,8.076035,9.982425
SRH,1,KKR,0,KKR,0,276.52941180000005,222.2478992,287.1166667,281.9285713999999,0.4477611940298508,0.5190839694656488,SRH,1,9.026536,12.745465
SRH,1,RCB,0,SRH,1,276.52941180000005,222.2478992,329.1875,274.8649554,0.4558823529411765,0.5074626865671642,SRH,1,9.026536,9.982425
SRH,1,RCB,0,RCB,0,398.85714289999993,319.8769841,399.4615385,309.8255495,0.4598540145985402,0.5037037037037037,SRH,1,9.026536,9.982425
RPS,1,MI,0,RPS,1,249.546875,249.2779514,265.6601307,304.0252101000001,0.288135593220339,0.5714285714285714,RPS,1,6.032793,15.160852
KXIP,1,RPS,0,KXIP,1,244.2142857,268.8730159,249.546875,249.2779514,0.4736842105263158,0.3,KXIP,1,9.380131,6.032793
RCB,1,DD,0,RCB,1,399.4615385,309.8255495,272.3392857,275.0734127,0.5,0.4230769230769231,RCB,1,9.982425,8.076035
MI,1,KKR,0,MI,1,265.6601307,304.0252101000001,256.15625,259.9321925,0.5673758865248227,0.5187969924812029,MI,1,15.160852,12.745465
KXIP,1,RCB,0,RCB,0,244.2142857,268.8730159,399.4615385,309.8255495,0.4776119402985074,0.5036496350364964,KXIP,1,9.380131,9.982425
DD,1,RPS,0,RPS,0,272.3392857,275.0734127,249.546875,249.2779514,0.4198473282442748,0.29508196721311475,DD,1,8.076035,6.032793
MI,1,SRH,0,MI,1,265.6601307,304.0252101000001,398.85714289999993,319.8769841,0.5704225352112676,0.4676258992805755,MI,1,15.160852,9.026536
KKR,1,KXIP,0,KKR,1,256.15625,259.9321925,244.2142857,268.8730159,0.5149253731343284,0.4814814814814815,KKR,1,12.745465,9.380131
MI,1,RCB,0,MI,1,265.6601307,304.0252101000001,399.4615385,309.8255495,0.5734265734265734,0.5,MI,1,15.160852,9.982425
KKR,1,SRH,0,SRH,0,256.15625,259.9321925,398.85714289999993,319.8769841,0.5185185185185185,0.4642857142857143,KKR,1,12.745465,9.026536
DD,1,KXIP,0,DD,1,272.3392857,275.0734127,244.2142857,268.8730159,0.42424242424242425,0.4779411764705882,DD,1,8.076035,9.380131
RPS,1,RCB,0,RCB,0,249.546875,249.2779514,399.4615385,309.8255495,0.2857142857142857,0.4964028776978418,RPS,1,6.032793,9.982425
KKR,1,DD,0,DD,0,256.15625,259.9321925,272.3392857,275.0734127,0.5220588235294118,0.42857142857142855,KKR,1,12.745465,8.076035
SRH,1,KXIP,0,KXIP,0,398.85714289999993,319.8769841,244.2142857,268.8730159,0.4609929078014184,0.4744525547445255,SRH,1,9.026536,9.380131
SRH,1,DD,0,SRH,1,398.85714289999993,319.8769841,272.3392857,275.0734127,0.4647887323943662,0.4253731343283582,SRH,1,9.026536,8.076035
MI,1,KXIP,0,MI,1,265.6601307,304.0252101000001,244.2142857,268.8730159,0.5793103448275863,0.4710144927536232,MI,1,15.160852,9.380131
MI,1,DD,0,DD,0,265.6601307,304.0252101000001,272.3392857,275.0734127,0.5821917808219178,0.4222222222222222,MI,1,15.160852,8.076035
RPS,1,SRH,0,RPS,1,249.546875,249.2779514,398.85714289999993,319.8769841,0.296875,0.4685314685314685,RPS,1,6.032793,9.026536
KKR,1,RCB,0,RCB,0,256.15625,259.9321925,399.4615385,309.8255495,0.5217391304347826,0.4964539007092199,KKR,1,12.745465,9.982425
RPS,1,MI,0,MI,0,249.546875,249.2779514,265.6601307,304.0252101000001,0.3076923076923077,0.5850340136054422,RPS,1,6.032793,15.160852
KKR,1,RPS,0,KKR,1,256.15625,259.9321925,249.546875,249.2779514,0.5251798561151079,0.3181818181818182,KKR,1,12.745465,6.032793
KKR,1,DD,0,KKR,1,256.15625,259.9321925,272.3392857,275.0734127,0.5285714285714286,0.4191176470588235,KKR,1,12.745465,8.076035
SRH,1,KXIP,0,KXIP,0,398.85714289999993,319.8769841,244.2142857,268.8730159,0.4652777777777778,0.4714285714285714,SRH,1,9.026536,9.380131
RPS,1,RCB,0,RCB,0,249.546875,249.2779514,399.4615385,309.8255495,0.31343283582089554,0.4895104895104895,RPS,1,6.032793,9.982425
KXIP,1,DD,0,KXIP,1,244.2142857,268.8730159,272.3392857,275.0734127,0.4680851063829787,0.4160583941605839,KXIP,1,9.380131,8.076035
SRH,1,KKR,0,KKR,0,398.85714289999993,319.8769841,256.15625,259.9321925,0.4689655172413793,0.5319148936170213,SRH,1,9.026536,12.745465
MI,1,RCB,0,RCB,0,265.6601307,304.0252101000001,399.4615385,309.8255495,0.5838926174496645,0.4861111111111111,MI,1,15.160852,9.982425
DD,1,SRH,0,DD,1,272.3392857,275.0734127,398.85714289999993,319.8769841,0.4130434782608696,0.4726027397260274,DD,1,8.076035,9.026536
RPS,1,KKR,0,RPS,1,249.546875,249.2779514,256.15625,259.9321925,0.3333333333333333,0.528169014084507,RPS,1,6.032793,12.745465
KXIP,1,RCB,0,RCB,0,244.2142857,268.8730159,399.4615385,309.8255495,0.471830985915493,0.4827586206896552,KXIP,1,9.380131,9.982425
RPS,1,SRH,0,SRH,0,249.546875,249.2779514,398.85714289999993,319.8769841,0.3428571428571429,0.4693877551020408,RPS,1,6.032793,9.026536
MI,1,DD,0,DD,0,265.6601307,304.0252101000001,272.3392857,275.0734127,0.5866666666666667,0.4214285714285714,MI,1,15.160852,8.076035
KKR,1,RCB,0,KKR,1,256.15625,259.9321925,399.4615385,309.8255495,0.5244755244755245,0.4794520547945205,KKR,1,12.745465,9.982425
SRH,1,MI,0,MI,0,398.85714289999993,319.8769841,265.6601307,304.0252101000001,0.4662162162162162,0.5894039735099338,SRH,1,9.026536,15.160852
KXIP,1,KKR,0,KKR,0,244.2142857,268.8730159,256.15625,259.9321925,0.4722222222222222,0.5277777777777778,KXIP,1,9.380131,12.745465
KXIP,1,MI,0,MI,0,244.2142857,268.8730159,265.6601307,304.0252101000001,0.4758620689655173,0.5855263157894737,KXIP,1,9.380131,15.160852
DD,1,RPS,0,DD,1,272.3392857,275.0734127,249.546875,249.2779514,0.4225352112676056,0.35211267605633795,DD,1,8.076035,6.032793
MI,1,KKR,0,KKR,0,265.6601307,304.0252101000001,256.15625,259.9321925,0.5816993464052288,0.5241379310344828,MI,1,15.160852,12.745465
RPS,1,KXIP,0,RPS,1,249.546875,249.2779514,244.2142857,268.8730159,0.3472222222222222,0.4794520547945205,RPS,1,6.032793,9.380131
RCB,1,DD,0,RCB,1,399.4615385,309.8255495,272.3392857,275.0734127,0.4761904761904762,0.42657342657342656,RCB,1,9.982425,8.076035
RPS,1,MI,0,MI,0,249.546875,249.2779514,265.6601307,304.0252101000001,0.3561643835616438,0.5844155844155844,RPS,1,6.032793,15.160852
KKR,1,SRH,0,KKR,1,256.15625,259.9321925,398.85714289999993,319.8769841,0.5205479452054794,0.4733333333333333,KKR,1,12.745465,9.026536
MI,1,KKR,0,MI,1,265.6601307,304.0252101000001,256.15625,259.9321925,0.5806451612903226,0.5238095238095238,MI,1,15.160852,12.745465
MI,1,RPS,0,MI,1,265.6601307,304.0252101000001,249.546875,249.2779514,0.5833333333333334,0.3648648648648649,MI,1,15.160852,6.032793
MI,1,CSK,0,CSK,0,334.6607143,296.8314626,275.3011364,322.2376736,0.5859872611464968,0.6076923076923076,CSK,0,15.160852,16.900712
DD,1,KXIP,0,KXIP,0,317.25,278.9384921,313.6047619,310.1144841,0.4236111111111111,0.4761904761904762,KXIP,0,8.076035,9.380131
RCB,1,KKR,0,KKR,0,337.4404762000001,299.8255952,268.73660710000007,246.5041667,0.4797297297297297,0.5202702702702703,KKR,0,9.982425,12.745465
RR,1,SRH,0,SRH,0,307.76,261.4831481,276.73529410000003,229.8008403,0.5431034482758621,0.4701986754966888,SRH,0,12.695051,9.026536
KKR,1,CSK,0,CSK,0,268.73660710000007,246.5041667,275.3011364,322.2376736,0.5234899328859061,0.6106870229007634,CSK,0,12.745465,16.900712
RR,1,DD,0,DD,0,307.76,261.4831481,317.25,278.9384921,0.5384615384615384,0.4206896551724138,RR,1,12.695051,8.076035
MI,1,SRH,0,SRH,0,334.6607143,296.8314626,276.73529410000003,229.8008403,0.5822784810126582,0.4736842105263158,SRH,0,15.160852,9.026536
KXIP,1,RCB,0,RCB,0,313.6047619,310.1144841,337.4404762000001,299.8255952,0.4797297297297297,0.4765100671140939,RCB,0,9.380131,9.982425
MI,1,DD,0,DD,0,334.6607143,296.8314626,317.25,278.9384921,0.5786163522012578,0.4178082191780822,DD,0,15.160852,8.076035
KKR,1,SRH,0,SRH,0,268.73660710000007,246.5041667,276.73529410000003,229.8008403,0.52,0.477124183006536,SRH,0,12.745465,9.026536
RR,1,RCB,0,RCB,0,307.76,261.4831481,337.4404762000001,299.8255952,0.5423728813559322,0.48,RR,1,12.695051,9.982425
KXIP,1,CSK,0,CSK,0,313.6047619,310.1144841,275.3011364,322.2376736,0.4765100671140939,0.6136363636363636,KXIP,1,9.380131,16.900712
KKR,1,DD,0,DD,0,268.73660710000007,246.5041667,317.25,278.9384921,0.5165562913907285,0.4217687074829932,KKR,1,12.745465,8.076035
MI,1,RCB,0,RCB,0,334.6607143,296.8314626,337.4404762000001,299.8255952,0.575,0.4768211920529801,MI,1,15.160852,9.982425
RR,1,KKR,0,KKR,0,307.76,261.4831481,268.73660710000007,246.5041667,0.5462184873949579,0.5197368421052632,KKR,0,12.695051,12.745465
KXIP,1,SRH,0,KXIP,1,313.6047619,310.1144841,276.73529410000003,229.8008403,0.48,0.4805194805194805,KXIP,1,9.380131,9.026536
CSK,1,RR,0,RR,0,275.3011364,322.2376736,307.76,261.4831481,0.6090225563909775,0.5416666666666666,CSK,1,16.900712,12.695051
KKR,1,KXIP,0,KXIP,0,268.73660710000007,246.5041667,313.6047619,310.1144841,0.5228758169934641,0.4834437086092716,KXIP,0,12.745465,9.380131
DD,1,RCB,0,RCB,0,317.25,278.9384921,337.4404762000001,299.8255952,0.4189189189189189,0.4736842105263158,RCB,0,8.076035,9.982425
CSK,1,SRH,0,SRH,0,275.3011364,322.2376736,276.73529410000003,229.8008403,0.6119402985074627,0.4774193548387097,CSK,1,16.900712,9.026536
MI,1,RR,0,MI,1,334.6607143,296.8314626,307.76,261.4831481,0.577639751552795,0.5371900826446281,RR,0,15.160852,12.695051
KXIP,1,DD,0,DD,0,313.6047619,310.1144841,317.25,278.9384921,0.4868421052631579,0.4161073825503356,KXIP,1,9.380131,8.076035
SRH,1,MI,0,MI,0,276.73529410000003,229.8008403,334.6607143,296.8314626,0.4743589743589744,0.5740740740740741,SRH,1,9.026536,15.160852
RCB,1,CSK,0,CSK,0,337.4404762000001,299.8255952,275.3011364,322.2376736,0.477124183006536,0.6148148148148148,CSK,0,9.982425,16.900712
SRH,1,KXIP,0,KXIP,0,276.73529410000003,229.8008403,313.6047619,310.1144841,0.4777070063694268,0.4901960784313725,SRH,1,9.026536,9.380131
DD,1,KKR,0,KKR,0,317.25,278.9384921,268.73660710000007,246.5041667,0.4133333333333333,0.5194805194805194,DD,1,8.076035,12.745465
CSK,1,MI,0,MI,0,275.3011364,322.2376736,334.6607143,296.8314626,0.6176470588235294,0.5705521472392638,MI,0,16.900712,15.160852
SRH,1,RR,0,SRH,1,276.73529410000003,229.8008403,307.76,261.4831481,0.4810126582278481,0.5409836065573771,SRH,1,9.026536,12.695051
RCB,1,KKR,0,KKR,0,337.4404762000001,299.8255952,268.73660710000007,246.5041667,0.474025974025974,0.5161290322580645,KKR,0,9.982425,12.745465
CSK,1,DD,0,DD,0,275.3011364,322.2376736,317.25,278.9384921,0.6131386861313869,0.4172185430463576,CSK,1,16.900712,8.076035
RCB,1,MI,0,MI,0,337.4404762000001,299.8255952,334.6607143,296.8314626,0.4709677419354839,0.573170731707317,RCB,1,9.982425,15.160852
DD,1,RR,0,RR,0,317.25,278.9384921,307.76,261.4831481,0.4144736842105263,0.5365853658536586,DD,1,8.076035,12.695051
CSK,1,KKR,0,KKR,0,275.3011364,322.2376736,268.73660710000007,246.5041667,0.6159420289855072,0.5192307692307693,KKR,0,16.900712,12.745465
KXIP,1,MI,0,MI,0,313.6047619,310.1144841,334.6607143,296.8314626,0.4870129870129871,0.5696969696969697,MI,0,9.380131,15.160852
RCB,1,CSK,0,CSK,0,337.4404762000001,299.8255952,275.3011364,322.2376736,0.4743589743589744,0.6115107913669064,CSK,0,9.982425,16.900712
DD,1,SRH,0,DD,1,317.25,278.9384921,276.73529410000003,229.8008403,0.4183006535947713,0.4842767295597484,SRH,0,8.076035,9.026536
MI,1,KKR,0,KKR,0,334.6607143,296.8314626,268.73660710000007,246.5041667,0.572289156626506,0.5222929936305732,MI,1,15.160852,12.745465
RR,1,KXIP,0,KXIP,0,307.76,261.4831481,313.6047619,310.1144841,0.532258064516129,0.4838709677419355,KXIP,0,12.695051,9.380131
SRH,1,RCB,0,RCB,0,276.73529410000003,229.8008403,337.4404762000001,299.8255952,0.4875,0.4713375796178344,SRH,1,9.026536,9.982425
RR,1,KXIP,0,RR,1,307.76,261.4831481,313.6047619,310.1144841,0.528,0.4871794871794872,RR,1,12.695051,9.380131
MI,1,KKR,0,KKR,0,334.6607143,296.8314626,268.73660710000007,246.5041667,0.5748502994011976,0.5189873417721519,MI,1,15.160852,12.745465
DD,1,SRH,0,DD,1,317.25,278.9384921,276.73529410000003,229.8008403,0.4155844155844156,0.4906832298136646,SRH,0,8.076035,9.026536
CSK,1,RR,0,CSK,1,275.3011364,322.2376736,307.76,261.4831481,0.6142857142857143,0.5317460317460317,RR,0,16.900712,12.695051
KKR,1,KXIP,0,KXIP,0,268.73660710000007,246.5041667,313.6047619,310.1144841,0.5157232704402516,0.4840764331210191,KKR,1,12.745465,9.380131
DD,1,RCB,0,RCB,0,317.25,278.9384921,337.4404762000001,299.8255952,0.4129032258064516,0.4683544303797468,RCB,0,8.076035,9.982425
SRH,1,CSK,0,CSK,0,276.73529410000003,229.8008403,275.3011364,322.2376736,0.4938271604938271,0.6099290780141844,CSK,0,9.026536,16.900712
MI,1,RR,0,RR,0,334.6607143,296.8314626,307.76,261.4831481,0.5773809523809523,0.5354330708661418,RR,0,15.160852,12.695051
KXIP,1,RCB,0,RCB,0,313.6047619,310.1144841,337.4404762000001,299.8255952,0.4810126582278481,0.4716981132075472,RCB,0,9.380131,9.982425
RR,1,KKR,0,KKR,0,307.76,261.4831481,268.73660710000007,246.5041667,0.5390625,0.51875,KKR,0,12.695051,12.745465
MI,1,KXIP,0,KXIP,0,334.6607143,296.8314626,313.6047619,310.1144841,0.5739644970414202,0.4779874213836478,MI,1,15.160852,9.380131
RCB,1,SRH,0,SRH,0,337.4404762000001,299.8255952,276.73529410000003,229.8008403,0.475,0.4907975460122699,RCB,1,9.982425,9.026536
DD,1,CSK,0,CSK,0,317.25,278.9384921,275.3011364,322.2376736,0.41025641025641024,0.6126760563380281,DD,1,8.076035,16.900712
RR,1,RCB,0,RR,1,307.76,261.4831481,337.4404762000001,299.8255952,0.5348837209302325,0.4782608695652174,RR,1,12.695051,9.982425
SRH,1,KKR,0,SRH,1,276.73529410000003,229.8008403,268.73660710000007,246.5041667,0.4878048780487805,0.5217391304347826,KKR,0,9.026536,12.745465
DD,1,MI,0,DD,1,317.25,278.9384921,334.6607143,296.8314626,0.4140127388535032,0.5764705882352941,DD,1,8.076035,15.160852
KXIP,1,CSK,0,CSK,0,313.6047619,310.1144841,275.3011364,322.2376736,0.475,0.6083916083916084,CSK,0,9.380131,16.900712
SRH,1,CSK,0,CSK,0,276.73529410000003,229.8008403,275.3011364,322.2376736,0.4848484848484849,0.6111111111111112,CSK,0,9.026536,16.900712
KKR,1,RR,0,RR,0,268.73660710000007,246.5041667,307.76,261.4831481,0.5246913580246914,0.5384615384615384,KKR,1,12.745465,12.695051
SRH,1,KKR,0,KKR,0,276.73529410000003,229.8008403,268.73660710000007,246.5041667,0.4819277108433735,0.5276073619631901,SRH,1,9.026536,12.745465
SRH,1,CSK,0,CSK,0,276.73529410000003,229.8008403,275.3011364,322.2376736,0.4850299401197605,0.6137931034482759,CSK,0,9.026536,16.900712
RCB,1,CSK,0,CSK,0,286.37142860000006,267.8791486,322.7647059,307.838265,0.4753086419753086,0.6164383561643836,CSK,0,9.982425,16.900712
SRH,1,KKR,0,KKR,0,384.8666667,312.9655243,406.85714289999993,286.291744,0.4821428571428572,0.5243902439024389,KKR,0,9.026536,12.745465
DD,1,MI,0,MI,0,299.56875,256.1392045,352.7638889,315.8209596000001,0.4177215189873418,0.5730994152046783,DD,1,8.076035,15.160852
KXIP,1,RR,0,RR,0,342.14285710000007,279.3951247,350.5714286000001,314.1829726,0.4720496894409938,0.5343511450381679,KXIP,1,9.380131,12.695051
DD,1,CSK,0,DD,1,299.56875,256.1392045,322.7647059,307.838265,0.42138364779874216,0.6190476190476191,CSK,0,8.076035,16.900712
KKR,1,KXIP,0,KXIP,0,406.85714289999993,286.291744,342.14285710000007,279.3951247,0.5272727272727272,0.4753086419753086,KKR,1,12.745465,9.380131
MI,1,RCB,0,RCB,0,352.7638889,315.8209596000001,286.37142860000006,267.8791486,0.5697674418604651,0.4723926380368098,MI,1,15.160852,9.982425
RR,1,SRH,0,RR,1,350.5714286000001,314.1829726,384.8666667,312.9655243,0.5303030303030303,0.4792899408284024,SRH,0,12.695051,9.026536
MI,1,KXIP,0,KXIP,0,352.7638889,315.8209596000001,342.14285710000007,279.3951247,0.5722543352601156,0.4723926380368098,KXIP,0,15.160852,9.380131
KKR,1,DD,0,DD,0,406.85714289999993,286.291744,299.56875,256.1392045,0.5301204819277109,0.41875,DD,0,12.745465,8.076035
SRH,1,RCB,0,RCB,0,384.8666667,312.9655243,286.37142860000006,267.8791486,0.4823529411764706,0.4695121951219512,SRH,1,9.026536,9.982425
CSK,1,RR,0,RR,0,322.7647059,307.838265,350.5714286000001,314.1829726,0.6216216216216216,0.5263157894736842,CSK,1,16.900712,12.695051
KXIP,1,DD,0,DD,0,342.14285710000007,279.3951247,299.56875,256.1392045,0.47560975609756106,0.42236024844720493,KXIP,1,9.380131,8.076035
RCB,1,RR,0,RR,0,286.37142860000006,267.8791486,350.5714286000001,314.1829726,0.4666666666666667,0.5223880597014925,RR,0,9.982425,12.695051
MI,1,CSK,0,CSK,0,352.7638889,315.8209596000001,322.7647059,307.838265,0.5689655172413793,0.6241610738255033,MI,1,15.160852,16.900712
DD,1,SRH,0,SRH,0,299.56875,256.1392045,384.8666667,312.9655243,0.41975308641975306,0.4853801169590643,SRH,0,8.076035,9.026536
RCB,1,KKR,0,KKR,0,286.37142860000006,267.8791486,406.85714289999993,286.291744,0.463855421686747,0.5269461077844312,KKR,0,9.982425,12.745465
CSK,1,KXIP,0,CSK,1,322.7647059,307.838265,342.14285710000007,279.3951247,0.62,0.4787878787878788,CSK,1,16.900712,9.380131
MI,1,SRH,0,SRH,0,352.7638889,315.8209596000001,384.8666667,312.9655243,0.5714285714285714,0.4883720930232558,MI,1,15.160852,9.026536
RCB,1,DD,0,DD,0,286.37142860000006,267.8791486,299.56875,256.1392045,0.4610778443113773,0.4171779141104294,DD,0,9.982425,8.076035
RR,1,KKR,0,KKR,0,350.5714286000001,314.1829726,406.85714289999993,286.291744,0.5259259259259259,0.5297619047619048,KKR,0,12.695051,12.745465
SRH,1,KXIP,0,KXIP,0,384.8666667,312.9655243,342.14285710000007,279.3951247,0.4855491329479769,0.4759036144578313,KXIP,0,9.026536,9.380131
KKR,1,CSK,0,CSK,0,406.85714289999993,286.291744,322.7647059,307.838265,0.5325443786982249,0.6225165562913907,CSK,0,12.745465,16.900712
KXIP,1,MI,0,MI,0,342.14285710000007,279.3951247,352.7638889,315.8209596000001,0.4790419161676647,0.5738636363636364,MI,0,9.380131,15.160852
RR,1,CSK,0,CSK,0,350.5714286000001,314.1829726,322.7647059,307.838265,0.5220588235294118,0.625,CSK,0,12.695051,16.900712
KKR,1,DD,0,DD,0,406.85714289999993,286.291744,299.56875,256.1392045,0.5294117647058824,0.4207317073170732,DD,0,12.745465,8.076035
MI,1,RR,0,RR,0,352.7638889,315.8209596000001,350.5714286000001,314.1829726,0.576271186440678,0.5182481751824818,RR,0,15.160852,12.695051
KXIP,1,RCB,0,RCB,0,342.14285710000007,279.3951247,286.37142860000006,267.8791486,0.4761904761904762,0.4583333333333333,RCB,0,9.380131,9.982425
KKR,1,CSK,0,CSK,0,406.85714289999993,286.291744,322.7647059,307.838265,0.5263157894736842,0.6274509803921569,CSK,0,12.745465,16.900712
DD,1,SRH,0,SRH,0,299.56875,256.1392045,384.8666667,312.9655243,0.42424242424242425,0.4827586206896552,DD,1,8.076035,9.026536
RCB,1,MI,0,MI,0,286.37142860000006,267.8791486,352.7638889,315.8209596000001,0.4615384615384616,0.5730337078651685,MI,0,9.982425,15.160852
KXIP,1,RR,0,RR,0,342.14285710000007,279.3951247,350.5714286000001,314.1829726,0.4733727810650887,0.5217391304347826,KXIP,1,9.380131,12.695051
CSK,1,SRH,0,CSK,1,322.7647059,307.838265,384.8666667,312.9655243,0.6298701298701299,0.48,SRH,0,16.900712,9.026536
MI,1,DD,0,MI,1,352.7638889,315.8209596000001,299.56875,256.1392045,0.5754189944134078,0.4277108433734939,MI,1,15.160852,8.076035
RCB,1,KKR,0,KKR,0,286.37142860000006,267.8791486,406.85714289999993,286.291744,0.4588235294117647,0.5232558139534884,RCB,1,9.982425,12.745465
MI,1,RR,0,RR,0,352.7638889,315.8209596000001,350.5714286000001,314.1829726,0.5777777777777777,0.5179856115107914,RR,0,15.160852,12.695051
KXIP,1,DD,0,DD,0,342.14285710000007,279.3951247,299.56875,256.1392045,0.4764705882352941,0.4251497005988024,DD,0,9.380131,8.076035
KKR,1,SRH,0,SRH,0,406.85714289999993,286.291744,384.8666667,312.9655243,0.5202312138728323,0.4829545454545455,SRH,0,12.745465,9.026536
RCB,1,CSK,0,CSK,0,286.37142860000006,267.8791486,322.7647059,307.838265,0.4619883040935672,0.6258064516129033,RCB,1,9.982425,16.900712
RR,1,DD,0,DD,0,350.5714286000001,314.1829726,299.56875,256.1392045,0.5214285714285715,0.42857142857142855,DD,0,12.695051,8.076035
SRH,1,CSK,0,CSK,0,384.8666667,312.9655243,322.7647059,307.838265,0.4858757062146893,0.6217948717948718,CSK,0,9.026536,16.900712
RCB,1,KXIP,0,KXIP,0,286.37142860000006,267.8791486,342.14285710000007,279.3951247,0.4651162790697674,0.4736842105263158,RCB,1,9.982425,9.380131
KKR,1,RR,0,RR,0,406.85714289999993,286.291744,350.5714286000001,314.1829726,0.5172413793103449,0.5177304964539007,RR,0,12.745465,12.695051
MI,1,CSK,0,CSK,0,352.7638889,315.8209596000001,322.7647059,307.838265,0.574585635359116,0.6242038216560509,MI,1,15.160852,16.900712
SRH,1,RR,0,RR,0,384.8666667,312.9655243,350.5714286000001,314.1829726,0.4831460674157304,0.5211267605633803,RR,0,9.026536,12.695051
DD,1,RCB,0,DD,1,299.56875,256.1392045,286.37142860000006,267.8791486,0.4319526627218935,0.4682080924855491,DD,1,8.076035,9.982425
KKR,1,MI,0,MI,0,406.85714289999993,286.291744,352.7638889,315.8209596000001,0.5142857142857142,0.5769230769230769,KKR,1,12.745465,15.160852
SRH,1,KXIP,0,KXIP,0,384.8666667,312.9655243,342.14285710000007,279.3951247,0.4804469273743017,0.4709302325581395,SRH,1,9.026536,9.380131
CSK,1,DD,0,DD,0,322.7647059,307.838265,299.56875,256.1392045,0.620253164556962,0.4352941176470588,CSK,1,16.900712,8.076035
MI,1,SRH,0,MI,1,352.7638889,315.8209596000001,384.8666667,312.9655243,0.5737704918032787,0.4833333333333333,MI,1,15.160852,9.026536
KXIP,1,KKR,0,KKR,0,342.14285710000007,279.3951247,406.85714289999993,286.291744,0.4682080924855491,0.5170454545454546,KKR,0,9.380131,12.745465
SRH,1,RCB,0,RCB,0,384.8666667,312.9655243,286.37142860000006,267.8791486,0.4806629834254144,0.4655172413793103,RCB,0,9.026536,9.982425
CSK,1,KXIP,0,KXIP,0,322.7647059,307.838265,342.14285710000007,279.3951247,0.6226415094339622,0.4655172413793103,KXIP,0,16.900712,9.380131
KKR,1,MI,0,MI,0,406.85714289999993,286.291744,352.7638889,315.8209596000001,0.519774011299435,0.5760869565217391,MI,0,12.745465,15.160852
CSK,1,MI,0,CSK,1,322.7647059,307.838265,352.7638889,315.8209596000001,0.61875,0.5783783783783784,MI,0,16.900712,15.160852
SRH,1,DD,0,DD,0,384.8666667,312.9655243,299.56875,256.1392045,0.4780219780219781,0.4327485380116959,DD,0,9.026536,8.076035
DD,1,CSK,0,CSK,0,299.56875,256.1392045,322.7647059,307.838265,0.43604651162790703,0.6149068322981367,CSK,0,8.076035,16.900712
