n_estimators,max_features,min_samples_leaf,max_depth,Ambiguity,Real Test Accuracy,Train Accuracy
400,log2,1,6,4.2132000000000005,58.4798,76.9402
500,log2,1,6,3.7602,58.5864,77.034
400,sqrt,1,6,3.6793999999999993,58.586999999999996,77.3132
400,log2,3,5,3.7603999999999984,58.614,71.6402
600,log2,1,6,3.4943999999999975,58.6404,76.99579999999997
600,sqrt,1,6,3.387199999999999,58.667,77.35240000000003
500,sqrt,1,6,3.440399999999999,58.694,77.3188
700,sqrt,1,6,3.1195999999999997,58.72120000000001,77.3674
400,sqrt,1,5,3.7066,58.74599999999999,72.41120000000001
500,log2,5,5,3.8122000000000007,58.77259999999998,71.23719999999999
800,sqrt,1,6,3.1469999999999994,58.77440000000001,77.4094
400,sqrt,5,4,3.4130000000000007,58.8262,68.377
400,log2,5,5,4.133799999999999,58.8266,71.2794
400,log2,1,5,3.4665999999999997,58.8266,72.2064
400,sqrt,5,6,3.7066000000000003,58.826800000000006,75.01620000000001
400,log2,3,6,3.519600000000001,58.827000000000005,75.51639999999996
600,log2,5,5,3.599400000000001,58.85340000000001,71.23379999999999
500,sqrt,5,6,3.3067999999999995,58.906800000000004,75.04139999999998
400,sqrt,3,6,3.546400000000001,58.933199999999985,75.81559999999996
400,sqrt,1,4,3.4133999999999993,58.93339999999999,68.7222
800,log2,1,6,3.040199999999999,58.9334,77.0082
500,log2,3,6,3.4660000000000015,58.9334,75.5268
400,log2,5,4,3.5200000000000014,58.96,68.28820000000003
400,sqrt,3,5,3.5995999999999997,58.9862,71.79300000000002
700,log2,1,6,3.0668000000000006,58.986599999999996,77.04220000000001
500,sqrt,1,5,3.4133999999999993,59.039199999999994,72.3634
400,log2,5,6,3.52,59.03999999999999,74.69780000000003
500,log2,3,5,3.2536,59.040200000000006,71.64900000000002
700,sqrt,1,5,3.2535999999999983,59.06579999999999,72.3348
400,sqrt,3,4,3.2796000000000007,59.0668,68.47460000000001
400,log2,3,4,3.494399999999999,59.0934,68.47220000000002
600,log2,1,5,2.9863999999999997,59.119800000000005,72.2298
400,log2,1,4,3.093000000000001,59.120200000000004,68.69780000000003
600,sqrt,1,5,3.2537999999999987,59.12039999999999,72.3226
700,sqrt,3,6,2.879199999999999,59.1466,75.96199999999997
700,log2,5,5,3.200199999999999,59.147,71.28580000000001
500,sqrt,3,5,3.2259999999999978,59.17320000000001,71.759
700,sqrt,5,4,2.693,59.17320000000001,68.4162
600,sqrt,5,6,3.1205999999999996,59.17360000000001,75.0556
700,sqrt,5,6,2.8802,59.17360000000001,75.06440000000002
500,log2,1,4,3.0666000000000007,59.199600000000004,68.69019999999999
600,log2,3,5,2.9864000000000006,59.199799999999996,71.66400000000002
400,sqrt,5,5,3.6264,59.225999999999985,71.4332
500,sqrt,1,4,2.8792,59.22680000000001,68.72739999999997
500,log2,1,5,2.853200000000001,59.227,72.28559999999999
800,sqrt,3,6,2.8004000000000002,59.227,75.95199999999998
700,log2,3,5,2.826000000000001,59.2534,71.68
500,log2,3,4,3.306000000000001,59.25340000000001,68.46759999999999
700,log2,1,5,2.7191999999999994,59.2536,72.22040000000001
600,log2,5,4,3.3070000000000004,59.25380000000001,68.37320000000001
500,log2,5,6,3.1197999999999997,59.27959999999999,74.67840000000001
600,log2,3,6,3.013399999999999,59.279799999999994,75.50800000000002
700,log2,3,4,3.1199999999999988,59.2798,68.55879999999999
700,log2,1,4,2.8789999999999996,59.28020000000001,68.73620000000001
600,sqrt,3,4,3.0668000000000006,59.280200000000015,68.48239999999998
500,sqrt,3,6,3.0134,59.28040000000001,75.89639999999999
500,sqrt,3,4,3.065800000000001,59.280400000000014,68.50280000000004
700,log2,3,6,2.6929999999999996,59.30679999999998,75.57579999999999
600,log2,1,4,3.0660000000000007,59.3068,68.689
800,log2,3,4,2.773199999999999,59.30700000000001,68.54820000000002
500,log2,5,4,3.173399999999999,59.307000000000016,68.3458
800,sqrt,1,5,2.987000000000001,59.332800000000006,72.3094
500,sqrt,5,5,3.040399999999999,59.33319999999999,71.37499999999999
800,log2,3,6,2.6929999999999996,59.33319999999999,75.57579999999997
800,sqrt,5,6,2.747,59.35940000000001,75.0328
500,sqrt,5,4,2.7203999999999997,59.35979999999999,68.42179999999999
600,log2,3,4,2.9330000000000007,59.36000000000001,68.46720000000002
700,sqrt,3,4,2.5864,59.36020000000001,68.5126
800,log2,1,4,2.6933999999999996,59.36020000000001,68.7416
800,sqrt,5,4,2.6126,59.386399999999995,68.4286
600,sqrt,5,4,2.6129999999999995,59.38700000000001,68.39260000000002
800,log2,3,5,2.5866000000000002,59.38700000000001,71.69979999999998
700,log2,5,4,3.0402000000000005,59.41320000000002,68.43539999999999
600,sqrt,3,6,2.8794,59.4134,75.903
800,log2,5,5,2.8542,59.4134,71.30160000000002
800,log2,1,5,2.6662,59.4136,72.28460000000001
800,log2,5,6,2.8531999999999997,59.4398,74.7834
600,sqrt,1,4,2.6938000000000013,59.44,68.705
600,sqrt,5,5,2.7729999999999997,59.46599999999999,71.3408
600,log2,5,6,2.7465999999999995,59.466199999999986,74.68480000000004
700,sqrt,5,5,2.48,59.4926,71.37319999999998
700,log2,5,6,2.5597999999999996,59.52,74.74520000000001
800,log2,5,4,2.7201999999999997,59.52000000000001,68.416
800,sqrt,3,5,2.5866,59.546400000000006,71.792
800,sqrt,3,4,2.3993999999999995,59.546600000000005,68.4878
600,sqrt,3,5,2.8528,59.573400000000014,71.74719999999999
700,sqrt,3,5,2.6128000000000005,59.599399999999996,71.8066
700,sqrt,1,4,2.4795999999999996,59.59959999999999,68.6984
800,sqrt,1,4,2.2127999999999997,59.73340000000001,68.7
800,sqrt,5,5,2.2659999999999996,59.7596,71.368
