Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
RR Pant,16,16,3,488,78*,37.53,300,162.66,0,3,0,37,27
S Dhawan,16,16,1,521,97*,34.73,384,135.67,0,5,1,64,11
SS Iyer,16,16,1,463,67,30.86,386,119.94,0,3,0,41,14
R Tewatia,5,4,3,26,11*,26,22,118.18,0,0,0,2,1
PP Shaw,16,16,0,353,99,22.06,264,133.71,0,2,1,45,9
C Munro,4,4,0,84,40,21,70,120,0,0,0,9,4
CA Ingram,12,12,2,184,47,18.4,154,119.48,0,0,0,20,5
AR Patel,14,12,6,110,26,18.33,88,125,0,0,1,10,3
SE Rutherford,7,7,2,73,28*,14.6,54,135.18,0,0,0,2,7
A Mishra,11,4,2,21,8,10.5,24,87.5,0,0,0,2,0
TA Boult,5,3,2,7,6,7,4,175,0,0,0,0,1
J Suchith,1,1,0,6,6,6,15,40,0,0,0,0,0
CH Morris,9,6,0,32,17,5.33,37,86.48,0,0,3,1,2
K Rabada,12,4,1,14,9,4.66,15,93.33,0,0,1,0,1
KMA Paul,8,6,1,18,7,3.6,24,75,0,0,2,1,1
GH Vihari,2,2,0,4,2,2,8,50,0,0,0,0,0
S Lamichhane,6,1,0,0,0,0,1,0,0,0,1,0,0
HV Patel,2,2,1,0,0*,0,2,0,0,0,1,0,0
I Sharma,13,3,3,10,10*,-,3,333.33,0,0,0,1,1
Avesh Khan,1,1,1,4,4*,-,3,133.33,0,0,0,1,0