n_neighbors,weights,metric,leaf_size,Ambiguity,Real Test Accuracy,Train Accuracy
3,uniform,manhattan,30,0.7498181818181817,54.62272727272728,77.39600000000003
3,uniform,manhattan,20,0.7498181818181817,54.62272727272728,77.39600000000003
3,uniform,manhattan,10,0.7498181818181817,54.62272727272728,77.39600000000003
12,distance,manhattan,30,0.8836363636363632,53.52654545454547,100.0
12,distance,manhattan,20,0.8836363636363632,53.52654545454547,100.0
12,distance,manhattan,10,0.8836363636363632,53.52654545454547,100.0
15,uniform,manhattan,20,1.9001818181818173,53.472181818181824,62.04381818181819
15,uniform,manhattan,10,1.9001818181818173,53.472181818181824,62.04381818181819
15,uniform,manhattan,30,1.9001818181818173,53.472181818181824,62.04381818181819
18,distance,euclidean,30,2.7569090909090903,53.393090909090915,100.0
18,distance,euclidean,20,2.7569090909090903,53.393090909090915,100.0
18,distance,euclidean,10,2.7569090909090903,53.393090909090915,100.0
8,distance,manhattan,10,1.2052727272727268,53.36836363636365,100.0
8,distance,manhattan,20,1.2052727272727268,53.36836363636365,100.0
8,distance,manhattan,30,1.2052727272727268,53.36836363636365,100.0
15,distance,manhattan,20,1.2047272727272722,53.33927272727275,100.0
15,distance,manhattan,10,1.2047272727272722,53.33927272727275,100.0
15,distance,manhattan,30,1.2047272727272722,53.33927272727275,100.0
1,distance,manhattan,30,1.0729090909090908,53.23236363636363,100.0
1,distance,manhattan,20,1.0729090909090908,53.23236363636363,100.0
1,distance,manhattan,10,1.0729090909090908,53.23236363636363,100.0
1,uniform,manhattan,30,1.0729090909090908,53.23236363636363,100.0
1,uniform,manhattan,20,1.0729090909090908,53.23236363636363,100.0
1,uniform,manhattan,10,1.0729090909090908,53.23236363636363,100.0
15,uniform,euclidean,10,2.168181818181817,53.07163636363637,61.37418181818184
15,uniform,euclidean,20,2.168181818181817,53.07163636363637,61.37418181818184
15,uniform,euclidean,30,2.168181818181817,53.07163636363637,61.37418181818184
18,distance,manhattan,30,1.5254545454545447,53.04745454545455,100.0
18,distance,manhattan,10,1.5254545454545447,53.04745454545455,100.0
18,distance,manhattan,20,1.5254545454545447,53.04745454545455,100.0
3,distance,manhattan,30,0.9918181818181816,52.91381818181817,100.0
3,distance,manhattan,20,0.9918181818181816,52.91381818181817,100.0
3,distance,manhattan,10,0.9918181818181816,52.91381818181817,100.0
5,distance,manhattan,10,1.206181818181818,52.91236363636364,100.0
5,distance,manhattan,20,1.206181818181818,52.91236363636364,100.0
5,distance,manhattan,30,1.206181818181818,52.91236363636364,100.0
15,distance,euclidean,10,2.490181818181817,52.883272727272725,100.0
15,distance,euclidean,20,2.490181818181817,52.883272727272725,100.0
15,distance,euclidean,30,2.490181818181817,52.883272727272725,100.0
5,uniform,manhattan,20,2.783090909090908,52.746,70.14781818181818
5,uniform,manhattan,30,2.783090909090908,52.746,70.14781818181818
5,uniform,manhattan,10,2.783090909090908,52.746,70.14781818181818
1,uniform,euclidean,10,2.251818181818181,52.72381818181818,100.0
1,uniform,euclidean,20,2.251818181818181,52.72381818181818,100.0
1,uniform,euclidean,30,2.251818181818181,52.72381818181818,100.0
1,distance,euclidean,10,2.251818181818181,52.72381818181818,100.0
1,distance,euclidean,20,2.251818181818181,52.72381818181818,100.0
1,distance,euclidean,30,2.251818181818181,52.72381818181818,100.0
3,uniform,euclidean,10,1.553818181818181,52.61054545454545,77.61181818181818
3,uniform,euclidean,20,1.553818181818181,52.61054545454545,77.61181818181818
3,uniform,euclidean,30,1.553818181818181,52.61054545454545,77.61181818181818
3,distance,euclidean,10,1.5005454545454537,52.50890909090907,100.0
3,distance,euclidean,30,1.5005454545454537,52.50890909090907,100.0
3,distance,euclidean,20,1.5005454545454537,52.50890909090907,100.0
5,uniform,euclidean,30,2.142545454545454,51.992909090909095,70.42636363636362
5,uniform,euclidean,20,2.142545454545454,51.992909090909095,70.42636363636362
5,uniform,euclidean,10,2.142545454545454,51.992909090909095,70.42636363636362
5,distance,euclidean,30,2.277999999999999,51.73163636363636,100.0
5,distance,euclidean,10,2.277999999999999,51.73163636363636,100.0
5,distance,euclidean,20,2.277999999999999,51.73163636363636,100.0
12,distance,euclidean,30,3.3707272727272715,51.625818181818175,100.0
12,distance,euclidean,20,3.3707272727272715,51.625818181818175,100.0
12,distance,euclidean,10,3.3707272727272715,51.625818181818175,100.0
8,distance,euclidean,20,2.6239999999999988,51.33236363636364,100.0
8,distance,euclidean,30,2.6239999999999988,51.33236363636364,100.0
8,distance,euclidean,10,2.6239999999999988,51.33236363636364,100.0
18,uniform,euclidean,30,11.245454545454548,49.990909090909085,61.65454545454546
18,uniform,euclidean,10,11.245454545454548,49.990909090909085,61.65454545454546
18,uniform,euclidean,20,11.245454545454548,49.990909090909085,61.65454545454546
18,uniform,manhattan,30,14.91490909090909,47.100363636363625,62.34254545454544
18,uniform,manhattan,20,14.91490909090909,47.100363636363625,62.34254545454544
18,uniform,manhattan,10,14.91490909090909,47.100363636363625,62.34254545454544
12,uniform,euclidean,30,17.21690909090908,44.39781818181818,62.277090909090916
12,uniform,euclidean,20,17.21690909090908,44.39781818181818,62.277090909090916
12,uniform,euclidean,10,17.21690909090908,44.39781818181818,62.277090909090916
12,uniform,manhattan,10,19.121090909090906,43.83090909090909,62.561272727272716
12,uniform,manhattan,20,19.121090909090906,43.83090909090909,62.563818181818185
12,uniform,manhattan,30,19.121090909090906,43.83090909090909,62.55981818181818
8,uniform,manhattan,10,23.544181818181812,41.25672727272725,64.72563636363634
8,uniform,manhattan,20,23.544181818181812,41.25672727272725,64.72563636363634
8,uniform,manhattan,30,23.544181818181812,41.25672727272725,64.72563636363634
8,uniform,euclidean,10,23.85872727272726,40.67145454545455,64.53909090909092
8,uniform,euclidean,30,23.85872727272726,40.67145454545455,64.53909090909092
8,uniform,euclidean,20,23.85872727272726,40.67145454545455,64.53909090909092
